Site Code,city,Vehicle_type,cluster,Date,Delivery Agent ID,Shift,Unsuccessful_Attempts,Process_Deviations,Delivered,Customer_Rejects,Picked_up_Customer_Returns,Picked up_Seller,billing_amt,,
Site_22,HYDERABAD,Bike,4,2023-06-27 00:00:00,DA_280,A,0,0,3,1,26,0,955,,
Site_10,BANGALORE,Van DCD,4,2023-06-08 00:00:00,DA_273,A,0,9,60,1,20,0,2075,,
Site_3,BANGALORE,Bike,4,2023-06-25 00:00:00,DA_370,C,2,0,15,0,2,0,571,,
Site_10,BANGALORE,Van DCD,4,2023-06-22 00:00:00,DA_118,B,1,0,15,0,0,0,1275,,
Site_4,BANGALORE,Van DCD,4,2023-06-11 00:00:00,DA_136,B,5,0,40,1,0,0,1353,,
Site_3,BANGALORE,Van DCD,4,2023-06-24 00:00:00,DA_36,B,0,0,22,0,0,0,1429,,
Site_19,HYDERABAD,Bike,4,2023-06-05 00:00:00,DA_295,C,2,0,29,0,2,0,613,,
Site_27,MUMBAI,Bike,3,2023-06-08 00:00:00,DA_224,A,2,0,13,0,31,0,933,,
Site_23,CHENNAI,Bike,3,2023-06-23 00:00:00,DA_686,A,0,0,0,0,31,0,907,,
Site_16,BANGALORE,Bike,4,2023-06-23 00:00:00,DA_569,B,3,0,34,0,2,0,772,,
Site_27,MUMBAI,Bike,3,2023-06-10 00:00:00,DA_498,C,3,1,15,0,2,0,546,,
Site_4,BANGALORE,Bike,4,2023-06-09 00:00:00,DA_287,C,2,4,22,1,2,0,595,,
Site_17,DELHI,Bike,6,2023-06-24 00:00:00,DA_195,B,1,0,22,7,6,0,835,,
Site_13,THANE,Van D+DA,5,2023-06-29 00:00:00,DA_160,A,3,0,72,4,8,0,2325,,
Site_22,HYDERABAD,Van D+DA,4,2023-06-28 00:00:00,DA_629,A,0,6,76,15,4,0,2315,,
Site_3,BANGALORE,Van DCD,4,2023-06-26 00:00:00,DA_36,A,2,0,66,2,1,0,2015,,
Site_6,BANGALORE,Van DCD,4,2023-06-28 00:00:00,DA_59,A,1,3,148,0,23,0,2497,,
Site_18,DELHI,Bike,6,2023-06-15 00:00:00,DA_234,B,4,0,24,4,6,0,833,,
Site_10,BANGALORE,Van DCD,4,2023-06-19 00:00:00,DA_269,A,11,24,92,1,1,0,2140,,
Site_19,HYDERABAD,Bike,4,2023-06-05 00:00:00,DA_648,A,0,1,0,0,46,0,987,,
Site_22,HYDERABAD,Bike,4,2023-06-05 00:00:00,DA_660,A,0,0,0,0,34,0,963,,
Site_4,BANGALORE,Bike,4,2023-06-18 00:00:00,DA_188,C,1,25,24,2,0,0,598,,
Site_14,MUMBAI,Van D+DA,5,2023-06-16 00:00:00,DA_622,A,5,0,62,1,2,0,2230,,
Site_13,THANE,Van D+DA,5,2023-06-19 00:00:00,DA_254,B,3,0,45,0,0,0,1655,,
Site_4,BANGALORE,Van DCD,4,2023-06-23 00:00:00,DA_158,A,0,0,66,0,4,0,2020,,
Site_7,BANGALORE,Bike,4,2023-06-24 00:00:00,DA_222,C,1,13,16,6,0,0,586,,
Site_10,BANGALORE,Van DCD,4,2023-06-14 00:00:00,DA_269,B,0,9,74,0,0,0,1575,,
Site_16,BANGALORE,Van DCD,4,2023-06-27 00:00:00,DA_625,B,5,0,28,0,0,0,1314,,
Site_29,DELHI,Van D+DA,6,2023-06-05 00:00:00,DA_72,A,3,0,72,0,3,0,2270,,
Site_15,BANGALORE,Van DCD,4,2023-06-13 00:00:00,DA_135,B,7,0,27,0,2,0,1317,,
Site_3,BANGALORE,Van DCD,4,2023-06-27 00:00:00,DA_318,A,3,0,71,1,4,0,2050,,
Site_29,DELHI,Bike,6,2023-06-05 00:00:00,DA_143,B,6,0,28,6,2,0,837,,
Site_4,BANGALORE,Bike,4,2023-06-01 00:00:00,DA_394,C,0,0,21,1,4,0,598,,
Site_5,BANGALORE,Bike,4,2023-06-07 00:00:00,DA_552,B,2,0,40,0,0,0,780,,
Site_4,BANGALORE,Bike,4,2023-06-08 00:00:00,DA_188,C,3,0,25,0,4,0,607,,
Site_4,BANGALORE,Van DCD,4,2023-06-12 00:00:00,DA_116,B,0,0,27,1,0,0,1314,,
Site_13,THANE,Van D+DA,5,2023-06-24 00:00:00,DA_218,B,6,0,46,0,2,0,1661,,
Site_15,BANGALORE,Bike,4,2023-06-21 00:00:00,DA_91,C,0,0,24,0,0,0,592,,
Site_13,THANE,Van D+DA,5,2023-06-18 00:00:00,DA_160,A,2,0,40,2,4,0,2177,,
Site_13,THANE,Bike,3,2023-06-28 00:00:00,DA_46,C,0,0,17,10,0,0,576,,
Site_2,BHOPAL,Bike,1,2023-06-07 00:00:00,DA_659,B,4,5,12,3,12,0,624,,
Site_14,MUMBAI,Van D+DA,5,2023-06-20 00:00:00,DA_622,B,1,0,16,7,18,0,1647,,
Site_26,MUMBAI,Van D+DA,5,2023-06-12 00:00:00,DA_38,B,5,0,41,1,2,0,1653,,
Site_27,MUMBAI,Bike,3,2023-06-21 00:00:00,DA_255,A,0,0,10,1,15,0,897,,
Site_21,HYDERABAD,Van DCD,4,2023-06-24 00:00:00,DA_96,A,3,0,67,0,12,0,2065,,
Site_2,BHOPAL,Bike,1,2023-06-20 00:00:00,DA_155,B,11,0,19,4,4,0,624,,
Site_17,DELHI,Bike,6,2023-06-13 00:00:00,DA_139,B,1,0,23,11,4,0,841,,
Site_5,BANGALORE,Bike,4,2023-06-12 00:00:00,DA_22,C,5,0,22,1,0,0,589,,
Site_9,BANGALORE,Bike,4,2023-06-07 00:00:00,DA_632,A,0,0,0,0,44,0,983,,
Site_13,THANE,Bike,3,2023-06-30 00:00:00,DA_511,A,0,0,6,0,43,0,943,,
Site_3,BANGALORE,Bike,4,2023-06-11 00:00:00,DA_221,C,2,0,16,0,0,0,568,,
Site_27,MUMBAI,Bike,3,2023-06-01 00:00:00,DA_495,A,1,0,6,0,48,0,953,,
Site_16,BANGALORE,Van DCD,4,2023-06-17 00:00:00,DA_271,B,3,0,24,2,0,0,1308,,
Site_27,MUMBAI,Van D+DA,5,2023-06-02 00:00:00,DA_502,B,5,0,48,0,0,0,1661,,
Site_26,MUMBAI,Van D+DA,5,2023-06-27 00:00:00,DA_214,A,5,0,82,2,16,0,2405,,
Site_12,MUMBAI,Van D+DA,5,2023-06-05 00:00:00,DA_32,A,3,1,88,7,3,0,2395,,
Site_28,MUMBAI,Bike,3,2023-06-12 00:00:00,DA_483,A,0,0,0,0,53,0,951,,
Site_29,DELHI,Bike,6,2023-06-07 00:00:00,DA_487,C,4,0,26,1,0,0,626,,
Site_21,HYDERABAD,Van DCD,4,2023-06-23 00:00:00,DA_96,A,7,16,38,2,4,0,1938,,
Site_26,MUMBAI,Bike,3,2023-06-03 00:00:00,DA_335,A,0,1,5,0,38,0,931,,
Site_24,MUMBAI,Van D+DA,5,2023-06-30 00:00:00,DA_215,B,5,5,45,2,0,0,1659,,
Site_10,BANGALORE,Bike,4,2023-06-09 00:00:00,DA_500,C,0,2,20,0,0,0,580,,
Site_3,BANGALORE,Van DCD,4,2023-06-30 00:00:00,DA_7,B,3,0,29,0,2,0,1447,,
Site_15,BANGALORE,Bike,4,2023-06-11 00:00:00,DA_91,C,0,0,35,1,8,0,652,,
Site_16,BANGALORE,Van DCD,4,2023-06-28 00:00:00,DA_320,A,6,11,87,4,1,0,2130,,
Site_5,BANGALORE,Van D+DA,4,2023-06-19 00:00:00,DA_506,B,10,0,22,1,0,0,1561,,
Site_10,BANGALORE,Bike,4,2023-06-05 00:00:00,DA_500,C,2,0,12,0,3,0,565,,
Site_5,BANGALORE,Bike,4,2023-06-28 00:00:00,DA_681,A,5,0,63,4,0,0,1029,,
Site_17,DELHI,Bike,6,2023-06-29 00:00:00,DA_210,C,1,0,23,3,0,0,623,,
Site_3,BANGALORE,Van DCD,4,2023-06-26 00:00:00,DA_605,B,2,0,26,0,0,0,1437,,
Site_3,BANGALORE,Bike,4,2023-06-09 00:00:00,DA_370,A,7,0,16,0,45,0,1017,,
Site_26,MUMBAI,Bike,3,2023-06-16 00:00:00,DA_154,C,3,4,17,1,5,0,564,,
Site_4,BANGALORE,Van DCD,4,2023-06-14 00:00:00,DA_582,A,4,0,51,6,5,0,1821,,
Site_5,BANGALORE,Van D+DA,4,2023-06-08 00:00:00,DA_690,A,4,1,64,8,2,0,2210,,
Site_22,HYDERABAD,Bike,4,2023-06-25 00:00:00,DA_620,C,2,0,15,13,4,0,616,,
Site_22,HYDERABAD,Bike,4,2023-06-30 00:00:00,DA_660,C,2,6,16,0,2,0,574,,
Site_22,HYDERABAD,Bike,4,2023-06-05 00:00:00,DA_307,C,0,15,16,6,0,0,586,,
Site_27,MUMBAI,Van D+DA,5,2023-06-26 00:00:00,DA_603,B,5,0,44,5,0,0,1663,,
Site_13,THANE,Bike,3,2023-06-24 00:00:00,DA_286,C,2,0,20,1,0,0,558,,
Site_22,HYDERABAD,Van DCD,4,2023-06-27 00:00:00,DA_151,B,4,1,31,2,0,0,1451,,
Site_6,BANGALORE,Bike,4,2023-06-16 00:00:00,DA_205,C,1,2,15,1,0,0,568,,
Site_5,BANGALORE,Bike,4,2023-06-29 00:00:00,DA_185,A,1,0,0,2,29,0,957,,
Site_14,MUMBAI,Van D+DA,5,2023-06-15 00:00:00,DA_622,A,3,0,64,1,0,0,2230,,
Site_27,MUMBAI,Bike,3,2023-06-23 00:00:00,DA_671,C,0,0,23,0,0,0,564,,
Site_17,DELHI,Bike,6,2023-06-06 00:00:00,DA_114,B,3,0,22,5,6,0,831,,
Site_13,THANE,Bike,3,2023-06-09 00:00:00,DA_46,A,0,2,2,0,45,0,939,,
Site_17,DELHI,Bike,6,2023-06-13 00:00:00,DA_374,C,0,0,21,0,0,0,608,,
Site_9,BANGALORE,Bike,4,2023-06-17 00:00:00,DA_589,C,6,1,16,6,4,0,598,,
Site_22,HYDERABAD,Van DCD,4,2023-06-03 00:00:00,DA_415,B,4,0,15,4,1,0,1425,,
Site_1,BHOPAL,Bike,1,2023-06-01 00:00:00,DA_283,A,0,0,14,0,32,0,852,,
Site_29,DELHI,Bike,6,2023-06-27 00:00:00,DA_564,C,4,8,21,0,0,0,608,,
Site_16,BANGALORE,Bike,4,2023-06-21 00:00:00,DA_569,B,7,0,25,3,0,0,756,,
Site_10,BANGALORE,Van DCD,4,2023-06-02 00:00:00,DA_240,B,1,6,46,2,2,0,1485,,
Site_22,HYDERABAD,Van DCD,4,2023-06-04 00:00:00,DA_152,A,3,3,58,2,0,0,1970,,
Site_22,HYDERABAD,Van DCD,4,2023-06-22 00:00:00,DA_414,B,5,0,15,9,0,0,1433,,
Site_3,BANGALORE,Bike,4,2023-06-22 00:00:00,DA_398,C,1,0,19,0,0,0,577,,
Site_29,DELHI,Bike,6,2023-06-11 00:00:00,DA_606,A,1,0,0,0,51,0,1122,,
Site_17,DELHI,Van D+DA,6,2023-06-17 00:00:00,DA_142,A,8,0,49,2,12,0,2210,,
Site_27,MUMBAI,Bike,3,2023-06-19 00:00:00,DA_495,A,0,0,22,0,31,0,951,,
Site_11,BANGALORE,Van DCD,4,2023-06-04 00:00:00,DA_491,B,1,2,28,1,5,0,1453,,
Site_7,BANGALORE,Bike,4,2023-06-15 00:00:00,DA_575,C,5,0,18,2,2,0,586,,
Site_18,DELHI,Bike,6,2023-06-27 00:00:00,DA_480,A,0,0,60,3,8,0,1162,,
Site_2,BHOPAL,Bike,1,2023-06-28 00:00:00,DA_119,B,1,1,15,4,7,0,622,,
Site_28,MUMBAI,Bike,3,2023-06-30 00:00:00,DA_483,A,0,0,0,0,55,0,955,,
Site_16,BANGALORE,Van DCD,4,2023-06-12 00:00:00,DA_314,B,1,0,22,0,0,0,1429,,
Site_16,BANGALORE,Van DCD,4,2023-06-01 00:00:00,DA_497,A,4,0,86,1,13,0,2000,,
Site_17,DELHI,Bike,6,2023-06-24 00:00:00,DA_551,A,1,0,1,0,56,0,1134,,
Site_10,BANGALORE,Van DCD,4,2023-06-29 00:00:00,DA_563,A,3,0,85,0,0,0,2095,,
Site_27,MUMBAI,Bike,3,2023-06-22 00:00:00,DA_671,C,0,2,20,0,0,0,555,,
Site_19,HYDERABAD,Van DCD,4,2023-06-28 00:00:00,DA_101,A,2,0,42,1,26,0,2015,,
Site_9,BANGALORE,Bike,4,2023-06-10 00:00:00,DA_555,C,3,1,20,0,0,0,580,,
Site_6,BANGALORE,Van DCD,4,2023-06-06 00:00:00,DA_138,B,2,0,34,0,0,0,1453,,
Site_5,BANGALORE,Bike,4,2023-06-27 00:00:00,DA_220,C,2,2,29,4,0,0,619,,
Site_3,BANGALORE,Bike,4,2023-06-22 00:00:00,DA_170,A,0,0,0,0,43,0,981,,
Site_27,MUMBAI,Bike,3,2023-06-04 00:00:00,DA_255,C,1,11,31,1,0,0,591,,
Site_24,MUMBAI,Bike,3,2023-06-09 00:00:00,DA_450,A,1,0,23,0,0,0,891,,
Site_22,HYDERABAD,Bike,4,2023-06-22 00:00:00,DA_131,A,0,0,0,0,29,0,953,,
Site_12,MUMBAI,Bike,3,2023-06-15 00:00:00,DA_11,A,0,0,3,0,42,0,935,,
Site_27,MUMBAI,Bike,3,2023-06-20 00:00:00,DA_614,B,1,0,26,3,10,0,713,,
Site_3,BANGALORE,Bike,4,2023-06-15 00:00:00,DA_385,A,3,0,0,0,32,0,959,,
Site_4,BANGALORE,Van DCD,4,2023-06-19 00:00:00,DA_581,A,0,3,215,1,22,0,2966,,
Site_5,BANGALORE,Van D+DA,4,2023-06-16 00:00:00,DA_652,B,4,0,64,6,3,0,2170,,
Site_3,BANGALORE,Van DCD,4,2023-06-14 00:00:00,DA_10,B,3,0,21,3,0,0,1433,,
Site_19,HYDERABAD,Bike,4,2023-06-07 00:00:00,DA_419,C,5,0,22,2,8,0,616,,
Site_21,HYDERABAD,Van DCD,4,2023-06-13 00:00:00,DA_631,B,9,0,19,0,0,0,1423,,
Site_22,HYDERABAD,Van DCD,4,2023-06-24 00:00:00,DA_415,B,0,0,20,4,0,0,1433,,
Site_16,BANGALORE,Van DCD,4,2023-06-24 00:00:00,DA_314,B,1,3,24,0,0,0,1433,,
Site_13,THANE,Bike,3,2023-06-14 00:00:00,DA_204,C,5,0,12,3,14,0,582,,
Site_16,BANGALORE,Van DCD,4,2023-06-08 00:00:00,DA_567,A,1,0,38,0,5,0,1936,,
Site_4,BANGALORE,Van DCD,4,2023-06-07 00:00:00,DA_664,A,8,0,56,2,2,0,1970,,
Site_27,MUMBAI,Bike,3,2023-06-14 00:00:00,DA_495,A,1,10,31,0,23,0,953,,
Site_19,HYDERABAD,Bike,4,2023-06-22 00:00:00,DA_89,C,1,0,21,1,1,0,589,,
Site_26,MUMBAI,Bike,3,2023-06-28 00:00:00,DA_565,A,0,9,9,0,25,0,913,,
Site_3,BANGALORE,Van DCD,4,2023-06-29 00:00:00,DA_251,A,2,34,62,3,2,0,2005,,
Site_10,BANGALORE,Van DCD,4,2023-06-09 00:00:00,DA_239,A,0,0,58,0,8,0,2000,,
Site_5,BANGALORE,Bike,4,2023-06-06 00:00:00,DA_164,C,7,0,19,2,0,0,583,,
Site_22,HYDERABAD,Van DCD,4,2023-06-23 00:00:00,DA_414,B,0,0,21,1,0,0,1429,,
Site_27,MUMBAI,Bike,3,2023-06-30 00:00:00,DA_580,B,0,2,30,0,0,0,695,,
Site_12,MUMBAI,Van D+DA,5,2023-06-14 00:00:00,DA_396,A,0,0,91,4,5,0,2405,,
Site_16,BANGALORE,Van DCD,4,2023-06-18 00:00:00,DA_392,A,3,0,73,2,6,0,2075,,
Site_15,BANGALORE,Bike,4,2023-06-01 00:00:00,DA_274,A,2,0,89,1,6,0,1087,,
Site_5,BANGALORE,Van D+DA,4,2023-06-09 00:00:00,DA_250,A,4,0,86,3,1,0,2290,,
Site_25,MUMBAI,Van D+DA,5,2023-06-03 00:00:00,DA_264,B,9,0,33,0,2,0,1635,,
Site_12,MUMBAI,Bike,3,2023-06-08 00:00:00,DA_24,A,0,0,18,1,25,0,933,,
Site_10,BANGALORE,Bike,4,2023-06-14 00:00:00,DA_619,C,1,0,8,0,6,0,562,,
Site_21,HYDERABAD,Bike,4,2023-06-04 00:00:00,DA_358,A,0,0,29,0,4,0,961,,
Site_4,BANGALORE,Van DCD,4,2023-06-27 00:00:00,DA_207,A,6,0,47,0,9,0,1962,,
Site_7,BANGALORE,Bike,4,2023-06-29 00:00:00,DA_543,C,0,0,24,0,0,0,592,,
Site_18,DELHI,Van D+DA,6,2023-06-22 00:00:00,DA_42,B,2,0,35,1,6,0,1639,,
Site_22,HYDERABAD,Van DCD,4,2023-06-04 00:00:00,DA_171,B,2,0,15,1,4,0,1425,,
Site_10,BANGALORE,Van DCD,4,2023-06-26 00:00:00,DA_273,A,1,3,74,0,10,0,2090,,
Site_6,BANGALORE,Bike,4,2023-06-05 00:00:00,DA_205,C,5,6,16,3,0,0,577,,
Site_10,BANGALORE,Van DCD,4,2023-06-25 00:00:00,DA_179,B,5,0,37,0,0,0,1459,,
Site_21,HYDERABAD,Bike,4,2023-06-16 00:00:00,DA_496,C,3,1,25,8,0,0,619,,
Site_22,HYDERABAD,Bike,4,2023-06-17 00:00:00,DA_144,C,0,2,20,5,0,0,595,,
Site_21,HYDERABAD,Van DCD,4,2023-06-11 00:00:00,DA_132,B,11,0,15,0,0,0,1415,,
Site_6,BANGALORE,Van DCD,4,2023-06-19 00:00:00,DA_591,A,2,0,75,2,8,0,2095,,
Site_27,MUMBAI,Bike,3,2023-06-20 00:00:00,DA_410,C,0,0,22,0,2,0,567,,
Site_16,BANGALORE,Van DCD,4,2023-06-09 00:00:00,DA_459,A,1,0,57,4,10,0,1848,,
Site_5,BANGALORE,Bike,4,2023-06-11 00:00:00,DA_164,C,4,0,19,1,0,0,580,,
Site_3,BANGALORE,Van DCD,4,2023-06-10 00:00:00,DA_157,B,3,0,21,0,2,0,1431,,
Site_26,MUMBAI,Van D+DA,5,2023-06-26 00:00:00,DA_214,A,2,0,78,1,15,0,2375,,
Site_19,HYDERABAD,Bike,4,2023-06-04 00:00:00,DA_295,C,3,0,29,0,4,0,619,,
Site_18,DELHI,Van D+DA,6,2023-06-13 00:00:00,DA_501,A,2,4,76,3,5,0,2315,,
Site_16,BANGALORE,Van DCD,4,2023-06-06 00:00:00,DA_669,B,3,0,22,0,0,0,1296,,
Site_14,MUMBAI,Bike,3,2023-06-18 00:00:00,DA_290,C,1,1,14,2,6,0,561,,
Site_19,HYDERABAD,Bike,4,2023-06-27 00:00:00,DA_295,C,1,0,28,0,0,0,604,,
Site_5,BANGALORE,Bike,4,2023-06-11 00:00:00,DA_681,A,7,9,67,2,2,0,1037,,
Site_3,BANGALORE,Van DCD,4,2023-06-09 00:00:00,DA_196,A,1,0,34,0,4,0,1926,,
Site_5,BANGALORE,Van D+DA,4,2023-06-16 00:00:00,DA_652,A,3,15,60,5,1,0,2170,,
Site_26,MUMBAI,Bike,3,2023-06-26 00:00:00,DA_335,A,0,0,27,0,17,0,933,,
Site_5,BANGALORE,Van D+DA,4,2023-06-05 00:00:00,DA_506,B,5,0,23,1,0,0,1563,,
Site_26,MUMBAI,Van D+DA,5,2023-06-23 00:00:00,DA_38,A,6,0,82,3,14,0,2400,,
Site_5,BANGALORE,Van D+DA,4,2023-06-10 00:00:00,DA_540,B,3,0,19,2,0,0,1557,,
Site_9,BANGALORE,Van DCD,4,2023-06-07 00:00:00,DA_299,B,6,7,26,3,2,0,1447,,
Site_18,DELHI,Bike,6,2023-06-21 00:00:00,DA_478,C,0,0,24,1,0,0,620,,
Site_22,HYDERABAD,Van DCD,4,2023-06-18 00:00:00,DA_82,B,1,0,18,3,0,0,1427,,
Site_27,MUMBAI,Bike,3,2023-06-22 00:00:00,DA_231,C,1,1,19,1,0,0,555,,
Site_22,HYDERABAD,Van DCD,4,2023-06-01 00:00:00,DA_124,B,0,0,16,5,0,0,1427,,
Site_21,HYDERABAD,Van DCD,4,2023-06-20 00:00:00,DA_560,A,19,0,46,20,2,0,2010,,
Site_29,DELHI,Bike,6,2023-06-20 00:00:00,DA_21,C,1,17,20,0,4,0,617,,
Site_10,BANGALORE,Van DCD,4,2023-06-17 00:00:00,DA_630,B,5,1,38,4,0,0,1469,,
Site_6,BANGALORE,Van DCD,4,2023-06-04 00:00:00,DA_329,B,0,0,30,0,0,0,1445,,
Site_22,HYDERABAD,Bike,4,2023-06-04 00:00:00,DA_418,A,0,0,0,0,22,0,939,,
Site_18,DELHI,Van D+DA,6,2023-06-03 00:00:00,DA_537,A,1,0,73,3,6,0,2305,,
Site_9,BANGALORE,Bike,4,2023-06-11 00:00:00,DA_434,C,2,11,17,1,4,0,586,,
Site_27,MUMBAI,Bike,3,2023-06-08 00:00:00,DA_550,A,1,2,2,0,39,0,927,,
Site_16,BANGALORE,Van DCD,4,2023-06-04 00:00:00,DA_271,B,3,0,24,1,3,0,1314,,
Site_21,HYDERABAD,Bike,4,2023-06-13 00:00:00,DA_369,A,0,0,0,0,37,0,969,,
Site_9,BANGALORE,Bike,4,2023-06-09 00:00:00,DA_555,C,4,1,16,3,10,0,607,,
Site_21,HYDERABAD,Van DCD,4,2023-06-10 00:00:00,DA_344,A,5,0,75,3,2,0,2070,,
Site_10,BANGALORE,Van DCD,4,2023-06-22 00:00:00,DA_617,A,0,0,0,1,74,0,2045,,
Site_27,MUMBAI,Van D+DA,5,2023-06-14 00:00:00,DA_493,A,12,0,78,2,5,0,2330,,
Site_15,BANGALORE,Van DCD,4,2023-06-13 00:00:00,DA_95,A,4,0,72,1,2,0,1860,,
Site_27,MUMBAI,Bike,3,2023-06-07 00:00:00,DA_523,A,1,0,1,0,43,0,933,,
Site_7,BANGALORE,Van DCD,4,2023-06-15 00:00:00,DA_156,A,1,1,76,1,6,0,2085,,
Site_9,BANGALORE,Bike,4,2023-06-10 00:00:00,DA_632,A,0,0,0,0,39,0,973,,
Site_16,BANGALORE,Van DCD,4,2023-06-04 00:00:00,DA_314,B,2,0,25,0,0,0,1435,,
Site_25,MUMBAI,Van D+DA,5,2023-06-28 00:00:00,DA_264,B,3,0,30,3,0,0,1631,,
Site_21,HYDERABAD,Van DCD,4,2023-06-06 00:00:00,DA_341,A,2,37,61,2,0,0,1985,,
Site_21,HYDERABAD,Van DCD,4,2023-06-26 00:00:00,DA_560,A,6,31,49,8,0,0,1964,,
Site_22,HYDERABAD,Van DCD,4,2023-06-09 00:00:00,DA_423,A,5,0,61,0,0,0,1975,,
Site_12,MUMBAI,Van D+DA,5,2023-06-25 00:00:00,DA_680,B,0,0,25,1,1,0,1619,,
Site_12,MUMBAI,Van D+DA,5,2023-06-26 00:00:00,DA_39,A,3,0,85,2,7,0,2375,,
Site_7,BANGALORE,Van DCD,4,2023-06-13 00:00:00,DA_573,A,6,3,77,1,7,0,2095,,
Site_19,HYDERABAD,Bike,4,2023-06-04 00:00:00,DA_111,C,2,0,30,0,4,0,622,,
Site_5,BANGALORE,Bike,4,2023-06-28 00:00:00,DA_73,C,0,0,20,1,0,0,583,,
Site_29,DELHI,Bike,6,2023-06-19 00:00:00,DA_564,C,0,13,20,0,2,0,611,,
Site_26,MUMBAI,Van D+DA,5,2023-06-28 00:00:00,DA_2,B,0,0,34,0,2,0,1637,,
Site_4,BANGALORE,Bike,4,2023-06-04 00:00:00,DA_646,C,4,0,32,0,0,0,616,,
Site_12,MUMBAI,Bike,3,2023-06-26 00:00:00,DA_12,A,0,0,19,0,32,0,947,,
Site_3,BANGALORE,Van DCD,4,2023-06-16 00:00:00,DA_36,B,0,0,30,0,0,0,1445,,
Site_4,BANGALORE,Bike,4,2023-06-30 00:00:00,DA_76,B,2,3,26,4,7,0,774,,
Site_19,HYDERABAD,Van DCD,4,2023-06-21 00:00:00,DA_211,A,4,0,51,3,11,0,1995,,
Site_17,DELHI,Bike,6,2023-06-22 00:00:00,DA_210,C,0,0,17,2,2,0,608,,
Site_27,MUMBAI,Bike,3,2023-06-09 00:00:00,DA_557,A,2,0,24,1,29,0,953,,
Site_22,HYDERABAD,Bike,4,2023-06-02 00:00:00,DA_693,A,0,0,0,0,36,0,967,,
Site_12,MUMBAI,Bike,3,2023-06-28 00:00:00,DA_126,C,0,0,18,0,0,0,549,,
Site_9,BANGALORE,Bike,4,2023-06-05 00:00:00,DA_555,A,0,0,0,0,36,0,967,,
Site_5,BANGALORE,Van D+DA,4,2023-06-30 00:00:00,DA_159,B,4,0,56,5,2,0,1650,,
Site_18,DELHI,Bike,6,2023-06-25 00:00:00,DA_25,B,1,0,19,4,4,0,819,,
Site_27,MUMBAI,Van D+DA,5,2023-06-26 00:00:00,DA_153,A,10,0,72,1,14,0,2340,,
Site_19,HYDERABAD,Bike,4,2023-06-10 00:00:00,DA_334,A,0,0,1,0,45,0,987,,
Site_17,DELHI,Bike,6,2023-06-30 00:00:00,DA_327,C,0,0,20,0,10,0,635,,
Site_26,MUMBAI,Van D+DA,5,2023-06-21 00:00:00,DA_556,B,3,0,39,0,4,0,1651,,
Site_14,MUMBAI,Bike,3,2023-06-07 00:00:00,DA_99,C,7,0,7,0,12,0,552,,
Site_19,HYDERABAD,Bike,4,2023-06-16 00:00:00,DA_111,C,3,0,15,1,8,0,592,,
Site_3,BANGALORE,Bike,4,2023-06-03 00:00:00,DA_8,C,4,0,18,0,4,0,586,,
Site_16,BANGALORE,Van DCD,4,2023-06-03 00:00:00,DA_238,A,2,0,181,1,3,0,2595,,
Site_16,BANGALORE,Van DCD,4,2023-06-21 00:00:00,DA_464,B,1,0,27,1,2,0,1445,,
Site_14,MUMBAI,Van D+DA,5,2023-06-08 00:00:00,DA_34,B,6,0,29,5,0,0,1633,,
Site_9,BANGALORE,Van DCD,4,2023-06-30 00:00:00,DA_299,B,3,0,45,3,4,0,1489,,
Site_16,BANGALORE,Van DCD,4,2023-06-16 00:00:00,DA_122,B,5,0,46,2,2,0,1380,,
